poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,10,10,5,v,1,0.5067332499893382,None,,,,,5,10,10,1,304.11024795798585,,,,304.1028660419397,304.11024795798585,305.10071104194503,305.10071104194503,305.10071104194503,305.10071104194503,305.1057469169609,306.10153187497053,306.10153187497053,,306.6205440419726,,,,,v,1,0.5067332499893382,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,11,11,3,z,1,0.4169322920497507,None,,,,,3,11,11,3,306.6317712919554,,,,306.62149120797403,306.6317712919554,307.6163942499552,307.6163942499552,307.6163942499552,307.6163942499552,307.62175891699735,308.61268549994566,308.61268549994566,,309.0323100419482,,,,,z,1,0.4169322920497507,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,12,12,1,c,0,0.7276182089699432,None,,,,,1,12,12,2,309.03912895789836,,,,309.03272995795123,309.03912895789836,310.02137400000356,310.02137400000356,310.02137400000356,310.02137400000356,310.037881166907,311.02899812499527,311.02899812499527,,311.7595624169335,,,,,c,0,0.7276182089699432,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,13,13,6,v,1,0.42071004200261086,None,,,,,6,13,13,1,311.7672124999808,,,,311.76017595792655,311.7672124999808,312.7495750829112,312.7495750829112,312.7495750829112,312.7495750829112,312.75453570799436,313.75673349993303,313.75673349993303,,314.18289666692726,,,,,v,1,0.42071004200261086,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,14,14,4,z,1,0.5625078330049291,None,,,,,4,14,14,3,314.1915835828986,,,,314.18385995796416,314.1915835828986,315.1752627919195,315.1752627919195,315.1752627919195,315.1752627919195,315.17972999997437,316.18291358300485,316.18291358300485,,316.76151333295275,,,,,z,1,0.5625078330049291,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,15,15,5,z,1,0.9162034579785541,None,,,,,5,15,15,3,316.7700768329669,,,,316.76247612491716,316.7700768329669,317.7589737079106,317.7589737079106,317.7589737079106,317.7589737079106,317.76394916698337,318.75910820800345,318.75910820800345,,319.68534358299803,,,,,z,1,0.9162034579785541,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,16,16,6,z,1,0.5039641259936616,None,,,,,6,16,16,3,319.6929560418939,,,,319.6859421249246,319.6929560418939,320.6821380419424,320.6821380419424,320.6821380419424,320.6821380419424,320.6821380419424,321.6827582499245,321.6827582499245,,322.1944089579629,,,,,z,1,0.5039641259936616,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,17,17,7,z,1,0.5368010000092909,None,,,,,7,17,17,3,322.2033927500015,,,,322.1951696249889,322.2033927500015,323.18455429188907,323.18455429188907,323.18455429188907,323.18455429188907,323.202133166953,324.18745687499177,324.18745687499177,,324.7338517078897,,,,,z,1,0.5368010000092909,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,18,18,1,x,1,0.586940124980174,None,,,,,1,18,18,0,324.74103229190223,,,,324.734287166968,324.74103229190223,325.72364887490403,325.72364887490403,325.72364887490403,325.72364887490403,325.7296380419284,326.7262241669232,326.7262241669232,,327.3171251669992,,,,,x,1,0.586940124980174,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,19,19,2,c,0,0.6380794589640573,None,,,,,2,19,19,2,327.3242244999856,,,,327.3175557499053,327.3242244999856,328.3168832499068,328.3168832499068,328.3168832499068,328.3168832499068,328.3168832499068,329.3060161669273,329.3060161669273,,329.95150500000454,,,,,c,0,0.6380794589640573,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,20,20,3,c,0,0.8136042499681935,None,,,,,3,20,20,2,329.95911974995397,,,,329.9521104579326,329.95911974995397,330.9478714999277,330.9478714999277,330.9478714999277,330.9478714999277,330.9478714999277,331.9514199999394,331.9514199999394,,332.77134258300066,,,,,c,0,0.8136042499681935,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,21,21,8,z,1,0.7415830009849742,None,,,,,8,21,21,3,332.7820092079928,,,,332.7722081668908,332.7820092079928,333.76295233296696,333.76295233296696,333.76295233296696,333.76295233296696,333.77968687494285,334.76341299992055,334.76341299992055,,335.51197595789563,,,,,z,1,0.7415830009849742,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,22,22,2,c,0,1.0067666670074686,None,,,,,2,22,22,0,335.5210770829581,,,,335.5129279999528,335.5210770829581,336.50229350000154,336.50229350000154,336.50229350000154,336.50229350000154,336.51329862489365,337.5051780829672,337.5051780829672,338.49925424996763,338.51870162494015,,,,,c,0,1.0067666670074686,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,23,23,7,v,1,0.7713225419865921,None,,,,,7,23,23,1,338.5277524580015,,,,338.5193871249212,338.5277524580015,339.51623533293605,339.51623533293605,339.51623533293605,339.51623533293605,339.52180587500334,340.51749537489377,340.51749537489377,,341.30064304196276,,,,,v,1,0.7713225419865921,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,24,24,9,z,1,1.5117881670594215,None,,,,,9,24,24,3,341.3079385829624,,,,341.3013964169659,341.3079385829624,342.3008064579917,342.3008064579917,342.3008064579917,342.3008064579917,342.3008064579917,343.29890562489163,343.29890562489163,344.29102062492166,344.81926525000017,,,,,z,1,1.5117881670594215,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,25,25,10,z,1,1.2423891669604927,None,,,,,10,25,25,3,344.82870166690554,,,,344.81992054195143,344.82870166690554,345.81869062490296,345.81869062490296,345.81869062490296,345.81869062490296,345.825008832966,346.8082824579906,346.8082824579906,347.79885391693097,348.05262516695075,,,,,z,1,1.2423891669604927,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
