stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
32,0.5,1.5,36.438447458000155,,36.43070491599792,36.438447458000155,36.92379304100177,36.92379304100177,36.937027915992076,37.220073958000285,37.86424237499887,right,1.5,1,1,0.9336287920014001,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
33,0.5,1.0,37.8726765409956,,37.864807582998765,37.8726765409956,38.36073316600232,38.36073316600232,38.36389591600164,38.66142316599144,39.11824962499668,left,-1.0,1,1,0.7516483749932377,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
34,0.5,1.0,39.12741270799597,,39.11872724999557,39.12741270799597,39.61977058299817,39.61977058299817,39.61977058299817,39.9199737500021,40.59724520800228,left,-1.0,1,1,0.9745223339996301,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
35,0.5,1.0,40.60579179099295,,40.59775429099682,40.60579179099295,41.091152374996454,41.091152374996454,41.103552250002394,41.386544915993,42.0305464159901,left,-1.0,0,0,0.9371290419949219,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
36,0.5,1.5,42.03991745799431,,42.0310872909904,42.03991745799431,42.524358208000194,42.524358208000194,42.536702875004266,42.81971899999189,43.18864958299673,left,-1.5,1,1,0.6599137500015786,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
37,0.5,1.5,43.19817570799205,,43.18912699999055,43.19817570799205,43.68667079099396,43.68667079099396,43.69471933299792,43.97403558299993,44.58859908299928,left,-1.5,1,1,0.8972116249933606,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
38,0.5,1.5,44.598552583003766,,44.58909883299202,44.598552583003766,45.08342233300209,45.08342233300209,45.09509691600397,45.37816570799623,45.85480099999404,left,-1.5,1,1,0.7647646259865724,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
39,0.5,1.0,45.863073207990965,,45.855233957991004,45.863073207990965,46.3504845409916,46.3504845409916,46.35631058299623,46.65335837499879,47.234103082999354,left,-1.0,0,0,0.8796530840045307,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
40,0.5,1.5,47.24363450000237,,47.23462649999419,47.24363450000237,47.72808437499043,47.72808437499043,47.73176312500436,48.02819929100224,48.42198591599299,left,-1.5,1,1,0.6881097500008764,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
41,0.5,1.5,48.43213570800435,,48.422470332996454,48.43213570800435,48.920536290999735,48.920536290999735,48.92346170799283,49.22000541599118,49.66453066599206,left,-1.5,1,1,0.7396508759993594,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
